riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs11690171-C	7E-13	(conditional)	0.5064	-	"0.0046 unit decrease"	[0.0034-0.0058]	SLC8A1	Height	"body height"	-	GCST90245848	2:40353778	36224396	"Yengo L"
rs17026644-G	2E-18	(conditional)	0.0671	-	"0.0203 unit decrease"	[0.016-0.025]	LINC01794	Height	"body height"	-	GCST90245848	2:40750464	36224396	"Yengo L"
rs7608089-T	2E-10	(conditional)	0.2543	-	"0.0047 unit decrease"	[0.0033-0.0061]	LDHAP3,HNRNPA1P57	Height	"body height"	-	GCST90245848	2:41420623	36224396	"Yengo L"
rs4148216-T	3E-14	(conditional)	0.1749	-	"0.0063 unit increase"	[0.0047-0.0079]	ABCG8	Height	"body height"	-	GCST90245848	2:43854052	36224396	"Yengo L"
rs6721746-A	2E-14	(conditional)	0.1658	-	"0.0072 unit increase"	[0.0054-0.009]	CAMKMT	Height	"body height"	-	GCST90245848	2:44734877	36224396	"Yengo L"
rs785679-A	7E-11	(conditional)	0.0643	-	"0.0092 unit decrease"	[0.0065-0.0119]	CAMKMT,LINC01833	Height	"body height"	-	GCST90245848	2:44825472	36224396	"Yengo L"
rs4953353-T	4E-20	(conditional)	0.3935	-	"0.007 unit decrease"	[0.0054-0.0086]	EPAS1	Height	"body height"	-	GCST90245848	2:46340137	36224396	"Yengo L"
rs7583554-T	5E-23	(conditional)	0.6156	-	"0.0073 unit decrease"	[0.0059-0.0087]	EPAS1	Height	"body height"	-	GCST90245848	2:46359958	36224396	"Yengo L"
rs6661954-T	2E-34	-	0.1915	-	"0.0096 unit increase"	[0.008-0.0112]	BRWD1P1,LRRC38	Height	"body height"	-	GCST90245848	1:13536255	36224396	"Yengo L"
rs355027-C	4E-13	-	0.1769	-	"0.0061 unit decrease"	[0.0045-0.0077]	PDPN	Height	"body height"	-	GCST90245848	1:13586482	36224396	"Yengo L"
rs1767676-A	5E-53	-	0.3084	-	"0.0104 unit increase"	[0.009-0.0118]	PDPN,RNA5SP41	Height	"body height"	-	GCST90245848	1:13620373	36224396	"Yengo L"
rs2697971-T	2E-39	-	0.2393	-	"0.0094 unit increase"	[0.008-0.0108]	PRDM2	Height	"body height"	-	GCST90245848	1:13821946	36224396	"Yengo L"
rs2359942-T	6E-15	-	0.5016	-	"0.0049 unit decrease"	[0.0037-0.0061]	KAZN	Height	"body height"	-	GCST90245848	1:14122641	36224396	"Yengo L"
rs926520-G	6E-13	-	0.3327	-	"0.0048 unit increase"	[0.0034-0.0062]	KAZN	Height	"body height"	-	GCST90245848	1:14723399	36224396	"Yengo L"
rs1737352-A	7E-10	-	0.5502	-	"0.0039 unit increase"	[0.0027-0.0051]	KAZN	Height	"body height"	-	GCST90245848	1:14794030	36224396	"Yengo L"
rs736185-A	7E-10	-	0.1316	-	"0.0056 unit increase"	[0.0038-0.0074]	FHAD1	Height	"body height"	-	GCST90245848	1:15378576	36224396	"Yengo L"
rs6429774-A	1E-24	-	0.2898	-	"0.007 unit decrease"	[0.0056-0.0084]	FBLIM1	Height	"body height"	-	GCST90245848	1:15764403	36224396	"Yengo L"
rs4661661-C	3E-10	-	0.1136	-	"0.0062 unit increase"	[0.0042-0.0082]	SPEN-AS1	Height	"body height"	-	GCST90245848	1:15835341	36224396	"Yengo L"
rs945419-C	4E-15	-	0.4286	-	"0.0049 unit decrease"	[0.0037-0.0061]	HSPB7	Height	"body height"	-	GCST90245848	1:16018363	36224396	"Yengo L"
rs4537547-A	1E-59	-	0.3541	-	"0.0106 unit increase"	[0.0092-0.012]	EPHA2-AS1,ARHGEF19-AS1	Height	"body height"	-	GCST90245848	1:16184303	36224396	"Yengo L"
rs696605-C	1E-23	-	0.5069	-	"0.0084 unit decrease"	[0.0068-0.01]	RNU1-1,CROCCP3	Height	"body height"	-	GCST90245848	1:16502007	36224396	"Yengo L"
rs12059633-G	5E-10	-	0.0579	-	"0.0087 unit increase"	[0.006-0.0114]	CROCC	Height	"body height"	-	GCST90245848	1:16965909	36224396	"Yengo L"
rs3754511-G	9E-88	-	0.1772	-	"0.0161 unit decrease"	[0.015-0.018]	MFAP2,ATP13A2	Height	"body height"	-	GCST90245848	1:16983524	36224396	"Yengo L"
rs9435734-G	1E-300	-	0.4946	-	"0.0427 unit increase"	[0.042-0.044]	MFAP2,ATP13A2	Height	"body height"	-	GCST90245848	1:16984695	36224396	"Yengo L"
rs2526828-A	4E-11	-	0.3529	-	"0.0043 unit decrease"	[0.0031-0.0055]	RCC2,PADI6	Height	"body height"	-	GCST90245848	1:17403407	36224396	"Yengo L"
rs6659366-A	2E-26	-	0.0596	-	"0.0141 unit increase"	[0.012-0.017]	ARHGEF10L,RCC2	Height	"body height"	-	GCST90245848	1:17473923	36224396	"Yengo L"
rs6704438-G	6E-16	-	0.3174	-	"0.0055 unit increase"	[0.0041-0.0069]	TAS1R2,PAX7	Height	"body height"	-	GCST90245848	1:18816988	36224396	"Yengo L"
rs4912111-G	6E-17	-	0.1591	-	"0.0071 unit decrease"	[0.0053-0.0089]	IFFO2	Height	"body height"	-	GCST90245848	1:18949551	36224396	"Yengo L"
rs12062540-G	3E-11	-	0.4483	-	"0.0042 unit increase"	[0.003-0.0054]	UBR4	Height	"body height"	-	GCST90245848	1:19202710	36224396	"Yengo L"
rs1472565-T	5E-144	-	0.5149	-	"0.0157 unit increase"	[0.015-0.017]	CAPZB	Height	"body height"	-	GCST90245848	1:19428536	36224396	"Yengo L"
rs10917452-T	4E-64	-	0.3977	-	"0.0106 unit increase"	[0.0094-0.0118]	CAPZB	Height	"body height"	-	GCST90245848	1:19444474	36224396	"Yengo L"
rs10489858-C	3E-41	-	0.1068	-	"0.0134 unit decrease"	[0.011-0.015]	"NBL1,MICOS10,MICOS10-NBL1"	Height	"body height"	-	GCST90245848	1:19620762	36224396	"Yengo L"
rs12408663-C	3E-92	-	0.2577	-	"0.0149 unit increase"	[0.014-0.016]	NBL1,MICOS10-NBL1	Height	"body height"	-	GCST90245848	1:19641564	36224396	"Yengo L"
rs12032393-G	1E-26	-	0.1502	-	"0.0093 unit increase"	[0.0075-0.0111]	LRRC8C	Height	"body height"	-	GCST90245848	1:89713973	36224396	"Yengo L"
rs2802031-G	3E-12	-	0.3033	-	"0.0047 unit increase"	[0.0033-0.0061]	LRRC8D	Height	"body height"	-	GCST90245848	1:89874110	36224396	"Yengo L"
rs10922911-T	7E-20	-	0.3867	-	"0.0057 unit decrease"	[0.0045-0.0069]	BARHL2,LINC02609	Height	"body height"	-	GCST90245848	1:90740274	36224396	"Yengo L"
rs1188921-C	1E-15	-	0.4094	-	"0.0051 unit decrease"	[0.0039-0.0063]	PHKA1P1,ZNF644	Height	"body height"	-	GCST90245848	1:90908842	36224396	"Yengo L"
rs13447526-A	9E-40	-	0.4206	-	"0.0085 unit decrease"	[0.0073-0.0097]	CDC7	Height	"body height"	-	GCST90245848	1:91517617	36224396	"Yengo L"
rs2294494-C	3E-212	-	0.088	-	"0.0338 unit decrease"	[0.032-0.036]	PAPPA2	Height	"body height"	-	GCST90245848	1:176843484	36224396	"Yengo L"
rs2038114-C	1E-300	-	0.4626	-	"0.0284 unit increase"	[0.027-0.03]	ASTN1,PAPPA2	Height	"body height"	-	GCST90245848	1:176847274	36224396	"Yengo L"
rs12747720-C	2E-65	-	0.0406	-	"0.0277 unit increase"	[0.025-0.031]	ASTN1	Height	"body height"	-	GCST90245848	1:176868436	36224396	"Yengo L"
rs10798489-C	1E-70	-	0.0756	-	"0.0232 unit decrease"	[0.021-0.026]	ASTN1	Height	"body height"	-	GCST90245848	1:176966575	36224396	"Yengo L"
rs11577430-G	6E-15	-	0.0539	-	"0.0106 unit increase"	[0.0079-0.0133]	ASTN1	Height	"body height"	-	GCST90245848	1:177159876	36224396	"Yengo L"
rs760688-G	3E-7	-	0.2981	-	"0.0035 unit decrease"	[0.0021-0.0049]	BRINP2	Height	"body height"	-	GCST90245848	1:177225914	36224396	"Yengo L"
rs16851663-T	3E-14	-	0.0314	-	"0.0143 unit decrease"	[0.011-0.018]	LINC01741,LINC01645	Height	"body height"	-	GCST90245848	1:177658366	36224396	"Yengo L"
rs6670873-T	2E-21	-	0.1924	-	"0.0076 unit increase"	[0.006-0.0092]	SEC16B,LINC01741	Height	"body height"	-	GCST90245848	1:177872550	36224396	"Yengo L"
rs10798580-A	1E-32	-	0.3955	-	"0.0076 unit decrease"	[0.0064-0.0088]	SEC16B,LINC01741	Height	"body height"	-	GCST90245848	1:177895419	36224396	"Yengo L"
rs7522427-G	2E-12	-	0.0817	-	"0.0079 unit decrease"	[0.0057-0.0101]	RASAL2	Height	"body height"	-	GCST90245848	1:178133585	36224396	"Yengo L"
rs3766642-A	2E-23	-	0.1183	-	"0.0097 unit decrease"	[0.0077-0.0117]	RALGPS2	Height	"body height"	-	GCST90245848	1:178844396	36224396	"Yengo L"
rs17277288-C	9E-30	-	0.0127	-	"0.0314 unit decrease"	[0.026-0.037]	ABL2	Height	"body height"	-	GCST90245848	1:179108478	36224396	"Yengo L"
rs409386-G	3E-50	-	0.3081	-	"0.0102 unit increase"	[0.0088-0.0116]	COX5BP8,SOAT1	Height	"body height"	-	GCST90245848	1:179279631	36224396	"Yengo L"
rs6674274-C	1E-33	-	0.4955	-	"0.0076 unit decrease"	[0.0064-0.0088]	AXDND1	Height	"body height"	-	GCST90245848	1:179490541	36224396	"Yengo L"
rs16855021-C	6E-20	-	0.1307	-	"0.0084 unit decrease"	[0.0066-0.0102]	CEP350	Height	"body height"	-	GCST90245848	1:179957920	36224396	"Yengo L"
rs3753812-G	9E-15	-	0.6221	-	"0.0051 unit decrease"	[0.0037-0.0065]	QSOX1	Height	"body height"	-	GCST90245848	1:180157006	36224396	"Yengo L"
rs17300579-C	2E-12	-	0.1869	-	"0.0057 unit decrease"	[0.0041-0.0073]	ACBD6	Height	"body height"	-	GCST90245848	1:180444407	36224396	"Yengo L"
rs7516646-A	6E-25	-	0.3727	-	"0.0068 unit decrease"	[0.0054-0.0082]	XPR1	Height	"body height"	-	GCST90245848	1:180856107	36224396	"Yengo L"
rs3795503-T	2E-149	-	0.3112	-	"0.0178 unit increase"	[0.016-0.019]	KIAA1614	Height	"body height"	-	GCST90245848	1:180936558	36224396	"Yengo L"
rs1411478-A	1E-23	-	0.411	-	"0.0062 unit decrease"	[0.005-0.0074]	STX6	Height	"body height"	-	GCST90245848	1:180993146	36224396	"Yengo L"
rs3734864-T	2E-11	-	0.0089	-	"0.0511 unit increase"	[0.036-0.066]	TCF19,POU5F1	Height	"body height"	-	GCST90245848	6:31164526	36224396	"Yengo L"
rs9468914-C	2E-181	-	0.3634	-	"0.0189 unit decrease"	[0.018-0.02]	RPL3P2,WASF5P	Height	"body height"	-	GCST90245848	6:31282829	36224396	"Yengo L"
rs2523578-G	1E-300	-	0.2272	-	"0.0425 unit increase"	[0.041-0.044]	HLA-B	Height	"body height"	-	GCST90245848	6:31360765	36224396	"Yengo L"
rs7775759-A	5E-133	-	0.3348	-	"0.0233 unit decrease"	[0.022-0.025]	MICA,HLA-S	Height	"body height"	-	GCST90245848	6:31384669	36224396	"Yengo L"
rs4346874-T	2E-125	-	0.1577	-	"0.021 unit decrease"	[0.019-0.023]	LINC01149,MICA	Height	"body height"	-	GCST90245848	6:31433597	36224396	"Yengo L"
rs2516518-A	2E-11	-	0.0973	-	"0.0102 unit decrease"	[0.0073-0.0131]	HCP5	Height	"body height"	-	GCST90245848	6:31467342	36224396	"Yengo L"
rs2395043-T	7E-30	-	0.2948	-	"0.0078 unit increase"	[0.0064-0.0092]	MICB-DT	Height	"body height"	-	GCST90245848	6:31494189	36224396	"Yengo L"
rs3828914-T	3E-83	-	0.3262	-	"0.013 unit decrease"	[0.012-0.014]	MICB	Height	"body height"	-	GCST90245848	6:31498042	36224396	"Yengo L"
rs2259435-A	1E-300	-	0.1693	-	"0.0318 unit decrease"	[0.03-0.033]	MCCD1	Height	"body height"	-	GCST90245848	6:31529138	36224396	"Yengo L"
rs3219190-C	3E-95	-	0.0992	-	"0.0215 unit decrease"	[0.02-0.023]	MCCD1	Height	"body height"	-	GCST90245848	6:31530198	36224396	"Yengo L"
rs2857600-T	1E-300	-	0.1171	-	"0.0431 unit increase"	[0.041-0.045]	UQCRHP1,AIF1	Height	"body height"	-	GCST90245848	6:31614510	36224396	"Yengo L"
rs3130623-T	5E-251	-	0.1715	-	"0.0283 unit increase"	[0.027-0.03]	PRRC2A	Height	"body height"	-	GCST90245848	6:31629923	36224396	"Yengo L"
rs2242657-C	8E-44	-	0.1396	-	"0.0126 unit decrease"	[0.011-0.014]	PRRC2A	Height	"body height"	-	GCST90245848	6:31634712	36224396	"Yengo L"
rs10484558-C	1E-86	-	0.0329	-	"0.0359 unit decrease"	[0.032-0.039]	BAG6	Height	"body height"	-	GCST90245848	6:31647737	36224396	"Yengo L"
rs805263-C	2E-9	-	0.0371	-	"0.01 unit increase"	[0.0067-0.0133]	C6orf47-AS1,C6orf47	Height	"body height"	-	GCST90245848	6:31660336	36224396	"Yengo L"
rs28381365-C	4E-9	-	0.003	-	"0.0358 unit increase"	[0.024-0.048]	MSH5,MSH5-SAPCD1	Height	"body height"	-	GCST90245848	6:31749820	36224396	"Yengo L"
rs707937-G	1E-24	-	0.2201	-	"0.0081 unit decrease"	[0.0065-0.0097]	MSH5-SAPCD1,SAPCD1	Height	"body height"	-	GCST90245848	6:31763237	36224396	"Yengo L"
rs494620-A	2E-92	-	0.4283	-	"0.0133 unit decrease"	[0.012-0.015]	SLC44A4	Height	"body height"	-	GCST90245848	6:31870936	36224396	"Yengo L"
rs6907185-G	8E-14	-	0.0759	-	"0.0087 unit decrease"	[0.0063-0.0111]	SLC44A4	Height	"body height"	-	GCST90245848	6:31876907	36224396	"Yengo L"
rs3130299-G	1E-21	-	0.2533	-	"0.0096 unit decrease"	[0.0076-0.0116]	NOTCH4,TSBP1-AS1	Height	"body height"	-	GCST90245848	6:32235760	36224396	"Yengo L"
rs9268219-G	2E-185	-	0.0935	-	"0.0344 unit increase"	[0.032-0.037]	TSBP1,TSBP1-AS1	Height	"body height"	-	GCST90245848	6:32316331	36224396	"Yengo L"
rs17495612-C	4E-8	-	0.16	-	"0.0068 unit decrease"	[0.0044-0.0092]	TSBP1-AS1	Height	"body height"	-	GCST90245848	6:32391654	36224396	"Yengo L"
rs28362680-A	2E-10	-	0.1081	-	"0.0068 unit decrease"	[0.0046-0.009]	TSBP1-AS1,BTNL2	Height	"body height"	-	GCST90245848	6:32403039	36224396	"Yengo L"
rs6457580-T	4E-7	-	0.0112	-	"0.0166 unit decrease"	[0.01-0.023]	HLA-DRA,TSBP1-AS1	Height	"body height"	-	GCST90245848	6:32425364	36224396	"Yengo L"
rs35464393-T	2E-180	-	0.163	-	"0.0397 unit increase"	[0.037-0.042]	HLA-DRB1,HLA-DRB6	Height	"body height"	-	GCST90245848	6:32562421	36224396	"Yengo L"
rs11599750-T	1E-140	-	0.3812	-	"0.0161 unit decrease"	[0.015-0.017]	CPN1	Height	"body height"	-	GCST90245848	10:100045685	36224396	"Yengo L"
rs10509741-A	6E-20	-	0.1318	-	"0.0091 unit increase"	[0.0071-0.0111]	ERLIN1	Height	"body height"	-	GCST90245848	10:100157609	36224396	"Yengo L"
rs3750629-C	3E-35	-	0.2161	-	"0.0093 unit decrease"	[0.0077-0.0109]	SEC31B	Height	"body height"	-	GCST90245848	10:100515970	36224396	"Yengo L"
rs4403743-A	3E-18	-	0.1976	-	"0.0073 unit increase"	[0.0057-0.0089]	PAX2	Height	"body height"	-	GCST90245848	10:100736983	36224396	"Yengo L"
rs876670-A	3E-15	-	0.2829	-	"0.0057 unit decrease"	[0.0043-0.0071]	PAX2	Height	"body height"	-	GCST90245848	10:100811803	36224396	"Yengo L"
rs7902564-G	1E-25	-	0.5801	-	"0.0066 unit increase"	[0.0054-0.0078]	Y_RNA,PAX2	Height	"body height"	-	GCST90245848	10:100872865	36224396	"Yengo L"
rs2902407-C	3E-232	-	0.5031	-	"0.0208 unit increase"	[0.02-0.022]	PAX2,Y_RNA	Height	"body height"	-	GCST90245848	10:100901147	36224396	"Yengo L"
rs10883567-C	2E-155	-	0.4439	-	"0.0173 unit increase"	[0.016-0.019]	LZTS2,TWNK	Height	"body height"	-	GCST90245848	10:100996022	36224396	"Yengo L"
rs11190901-C	3E-23	-	0.3952	-	"0.0063 unit decrease"	[0.0051-0.0075]	LBX1-AS1,RNU2-43P	Height	"body height"	-	GCST90245848	10:101279507	36224396	"Yengo L"
rs11591787-G	1E-22	-	0.1607	-	"0.0086 unit decrease"	[0.0068-0.0104]	RNU2-43P,BTRC	Height	"body height"	-	GCST90245848	10:101326465	36224396	"Yengo L"
rs6584444-C	2E-57	-	0.3138	-	"0.0106 unit increase"	[0.0092-0.012]	FBXW4,LINC03046	Height	"body height"	-	GCST90245848	10:101696052	36224396	"Yengo L"
rs2786847-A	1E-10	-	0.4058	-	"0.0042 unit increase"	[0.0028-0.0056]	ARMH3,HPS6	Height	"body height"	-	GCST90245848	10:102063378	36224396	"Yengo L"
rs2786846-T	4E-21	-	0.2296	-	"0.0072 unit decrease"	[0.0056-0.0088]	LDB1	Height	"body height"	-	GCST90245848	10:102119295	36224396	"Yengo L"
rs7342070-C	1E-300	-	0.5147	-	"0.0253 unit increase"	[0.024-0.026]	MFSD13A,ACTR1A	Height	"body height"	-	GCST90245848	10:102463871	36224396	"Yengo L"
rs11596235-T	7E-132	-	0.2686	-	"0.0171 unit increase"	[0.016-0.018]	SUFU	Height	"body height"	-	GCST90245848	10:102631277	36224396	"Yengo L"
rs12763284-A	9E-244	-	0.5202	-	"0.0207 unit decrease"	[0.02-0.022]	WBP1L	Height	"body height"	-	GCST90245848	10:102748445	36224396	"Yengo L"
rs284859-T	2E-48	-	0.1799	-	"0.0118 unit decrease"	[0.01-0.013]	WBP1L	Height	"body height"	-	GCST90245848	10:102813260	36224396	"Yengo L"
rs7922982-G	1E-14	-	0.0434	-	"0.012 unit increase"	[0.0089-0.0151]	NT5C2	Height	"body height"	-	GCST90245848	10:103231176	36224396	"Yengo L"
rs7905968-T	4E-33	-	0.4725	-	"0.0075 unit increase"	[0.0063-0.0087]	TAF5	Height	"body height"	-	GCST90245848	10:103375562	36224396	"Yengo L"
rs2271750-A	5E-9	-	0.1256	-	"0.0055 unit increase"	[0.0037-0.0073]	PDCD11	Height	"body height"	-	GCST90245848	10:103415112	36224396	"Yengo L"
rs6584555-C	6E-13	-	0.1832	-	"0.0059 unit increase"	[0.0043-0.0075]	NEURL1	Height	"body height"	-	GCST90245848	10:103539854	36224396	"Yengo L"
rs7907682-G	9E-30	-	0.4149	-	"0.0072 unit increase"	[0.006-0.0084]	SH3PXD2A	Height	"body height"	-	GCST90245848	10:103611295	36224396	"Yengo L"
rs10883903-G	2E-115	-	0.2247	-	"0.0174 unit increase"	[0.016-0.019]	SH3PXD2A	Height	"body height"	-	GCST90245848	10:103714894	36224396	"Yengo L"
rs10748848-A	2E-41	-	0.3245	-	"0.009 unit decrease"	[0.0076-0.0104]	SH3PXD2A	Height	"body height"	-	GCST90245848	10:103761947	36224396	"Yengo L"
rs11191835-C	2E-45	-	0.3831	-	"0.009 unit increase"	[0.0078-0.0102]	STN1	Height	"body height"	-	GCST90245848	10:103862101	36224396	"Yengo L"
rs10882272-C	3E-14	-	0.3686	-	"0.0049 unit decrease"	[0.0037-0.0061]	FFAR4	Height	"body height"	-	GCST90245848	10:93588425	36224396	"Yengo L"
rs2901714-T	6E-39	-	0.5145	-	"0.0084 unit decrease"	[0.0072-0.0096]	PDE6C	Height	"body height"	-	GCST90245848	10:93649262	36224396	"Yengo L"
rs1223577-A	1E-6	-	0.2244	-	"0.0037 unit decrease"	[0.0021-0.0053]	PIPSL,PLCE1	Height	"body height"	-	GCST90245848	10:93977207	36224396	"Yengo L"
rs3814689-C	4E-29	-	0.2646	-	"0.0079 unit increase"	[0.0065-0.0093]	PLCE1	Height	"body height"	-	GCST90245848	10:93994975	36224396	"Yengo L"
rs17439123-A	4E-59	-	0.1499	-	"0.0142 unit decrease"	[0.012-0.016]	NOC3L	Height	"body height"	-	GCST90245848	10:94344329	36224396	"Yengo L"
rs11188044-G	1E-24	-	0.1835	-	"0.0083 unit increase"	[0.0067-0.0099]	CTBP2P2,HELLS	Height	"body height"	-	GCST90245848	10:94627322	36224396	"Yengo L"
rs12778481-A	2E-11	-	0.1862	-	"0.0056 unit decrease"	[0.004-0.0072]	SORBS1,PDLIM1	Height	"body height"	-	GCST90245848	10:95297114	36224396	"Yengo L"
rs3814148-G	1E-16	-	0.441	-	"0.0052 unit decrease"	[0.004-0.0064]	SORBS1,PDLIM1	Height	"body height"	-	GCST90245848	10:95311607	36224396	"Yengo L"
rs11188604-G	1E-269	-	0.3246	-	"0.0237 unit decrease"	[0.022-0.025]	RNU6-271P,ENTPD1-AS1	Height	"body height"	-	GCST90245848	10:96102823	36224396	"Yengo L"
rs1172943-G	2E-8	-	0.3497	-	"0.0037 unit increase"	[0.0023-0.0051]	ENTPD1-AS1,RNU6-271P	Height	"body height"	-	GCST90245848	10:96111024	36224396	"Yengo L"
rs4917737-C	2E-12	-	0.3453	-	"0.0047 unit increase"	[0.0033-0.0061]	TLL2	Height	"body height"	-	GCST90245848	10:96408397	36224396	"Yengo L"
rs11188826-C	2E-8	-	0.027	-	"0.0119 unit increase"	[0.0078-0.016]	TM9SF3	Height	"body height"	-	GCST90245848	10:96558020	36224396	"Yengo L"
rs7080839-A	1E-27	-	0.7669	-	"0.0084 unit decrease"	[0.0068-0.01]	LCOR	Height	"body height"	-	GCST90245848	10:96943460	36224396	"Yengo L"
rs7082838-G	8E-132	-	0.1111	-	"0.0249 unit increase"	[0.023-0.027]	LCOR	Height	"body height"	-	GCST90245848	10:96952431	36224396	"Yengo L"
rs12098593-A	9E-26	-	0.1018	-	"0.0113 unit increase"	[0.0091-0.0135]	SLIT1	Height	"body height"	-	GCST90245848	10:97049472	36224396	"Yengo L"
rs793529-G	4E-8	-	0.0592	-	"0.0078 unit increase"	[0.0051-0.0105]	ARHGAP19-SLIT1,ARHGAP19	Height	"body height"	-	GCST90245848	10:97244414	36224396	"Yengo L"
rs2275580-T	5E-14	-	0.5595	-	"0.0048 unit decrease"	[0.0036-0.006]	RRP12	Height	"body height"	-	GCST90245848	10:97366192	36224396	"Yengo L"
rs11189249-G	6E-15	-	0.4132	-	"0.005 unit decrease"	[0.0038-0.0062]	UBTD1	Height	"body height"	-	GCST90245848	10:97512912	36224396	"Yengo L"
rs6584147-T	3E-9	-	0.2845	-	"0.0042 unit decrease"	[0.0028-0.0056]	AVPI1,MARVELD1	Height	"body height"	-	GCST90245848	10:97703927	36224396	"Yengo L"
rs17524355-T	2E-59	-	0.1849	-	"0.013 unit decrease"	[0.011-0.015]	LOXL4	Height	"body height"	-	GCST90245848	10:98253681	36224396	"Yengo L"
rs1983864-G	3E-145	-	0.3521	-	"0.0167 unit increase"	[0.015-0.018]	LOXL4	Height	"body height"	-	GCST90245848	10:98257696	36224396	"Yengo L"
rs2862596-T	3E-8	-	0.4304	-	"0.0034 unit increase"	[0.0022-0.0046]	GOT1-DT,LINC01475	Height	"body height"	-	GCST90245848	10:99469770	36224396	"Yengo L"
rs11596177-T	5E-35	-	0.1232	-	"0.0117 unit decrease"	[0.0099-0.0135]	ENTPD7	Height	"body height"	-	GCST90245848	10:99698196	36224396	"Yengo L"
rs10509739-T	3E-6	-	0.0762	-	"0.0057 unit decrease"	[0.0033-0.0081]	ABCC2,DNMBP	Height	"body height"	-	GCST90245848	10:99873553	36224396	"Yengo L"
rs11190338-T	1E-20	-	0.0443	-	"0.014 unit decrease"	[0.011-0.017]	DNMBP-AS1,DNMBP	Height	"body height"	-	GCST90245848	10:99953497	36224396	"Yengo L"
rs303212-T	2E-28	-	0.7075	-	"0.0077 unit decrease"	[0.0063-0.0091]	IFIT1,LIPA	Height	"body height"	-	GCST90245848	10:89401598	36224396	"Yengo L"
rs17122257-G	4E-14	-	0.0915	-	"0.0083 unit increase"	[0.0061-0.0105]	SLC16A12	Height	"body height"	-	GCST90245848	10:89474398	36224396	"Yengo L"
rs11593892-A	1E-7	-	0.2137	-	"0.0043 unit increase"	[0.0027-0.0059]	PANK1-AS1,KIF20B	Height	"body height"	-	GCST90245848	10:89701396	36224396	"Yengo L"
rs17127699-A	2E-9	-	0.0307	-	"0.0112 unit increase"	[0.0075-0.0149]	LINC00865,MTND5P42	Height	"body height"	-	GCST90245848	10:89821548	36224396	"Yengo L"
rs10509598-A	5E-7	-	0.1509	-	"0.0043 unit increase"	[0.0025-0.0061]	LINC02653,LINC01374	Height	"body height"	-	GCST90245848	10:90287814	36224396	"Yengo L"
rs1418213-A	3E-9	-	0.1625	-	"0.005 unit decrease"	[0.0034-0.0066]	HTR7	Height	"body height"	-	GCST90245848	10:90741893	36224396	"Yengo L"
rs4411211-C	2E-15	-	0.4272	-	"0.005 unit decrease"	[0.0038-0.0062]	LINC00502,RNU6-740P	Height	"body height"	-	GCST90245848	10:90956862	36224396	"Yengo L"
rs7094504-G	1E-12	-	0.2862	-	"0.0049 unit decrease"	[0.0035-0.0063]	NUDT9P1,LINC00502	Height	"body height"	-	GCST90245848	10:91076729	36224396	"Yengo L"
rs11186478-A	1E-83	-	0.0561	-	"0.0265 unit increase"	[0.024-0.029]	PCGF5	Height	"body height"	-	GCST90245848	10:91166943	36224396	"Yengo L"
rs7069106-A	8E-58	-	0.0932	-	"0.017 unit increase"	[0.015-0.019]	PCGF5	Height	"body height"	-	GCST90245848	10:91179142	36224396	"Yengo L"
rs11186505-A	9E-180	-	0.2542	-	"0.0204 unit increase"	[0.019-0.022]	PCGF5	Height	"body height"	-	GCST90245848	10:91223151	36224396	"Yengo L"
rs2648725-A	3E-277	-	0.1853	-	"0.0294 unit increase"	[0.028-0.031]	PCGF5	Height	"body height"	-	GCST90245848	10:91255322	36224396	"Yengo L"
rs7074612-C	1E-19	-	0.0529	-	"0.0133 unit increase"	[0.01-0.016]	PCGF5	Height	"body height"	-	GCST90245848	10:91282112	36224396	"Yengo L"
rs7903829-T	2E-20	-	0.0719	-	"0.011 unit decrease"	[0.0086-0.0134]	PPP1R3C,RPS27P1	Height	"body height"	-	GCST90245848	10:91600037	36224396	"Yengo L"
rs11591635-C	2E-81	-	0.0984	-	"0.02 unit increase"	[0.018-0.022]	PPP1R3C,RPS27P1	Height	"body height"	-	GCST90245848	10:91600545	36224396	"Yengo L"
rs2258946-A	2E-38	-	0.139	-	"0.0117 unit decrease"	[0.0099-0.0135]	TNKS2	Height	"body height"	-	GCST90245848	10:91864915	36224396	"Yengo L"
rs12411618-T	1E-13	-	0.1326	-	"0.0071 unit increase"	[0.0051-0.0091]	MARCHF5	Height	"body height"	-	GCST90245848	10:92292407	36224396	"Yengo L"
rs10786055-G	1E-9	-	0.0406	-	"0.0106 unit increase"	[0.0073-0.0139]	EXOC6	Height	"body height"	-	GCST90245848	10:92866464	36224396	"Yengo L"
rs17108019-C	1E-6	-	0.0257	-	"0.0105 unit decrease"	[0.0064-0.0146]	EXOC6	Height	"body height"	-	GCST90245848	10:92957694	36224396	"Yengo L"
rs4918430-T	2E-15	-	0.1294	-	"0.0075 unit increase"	[0.0057-0.0093]	NIP7P1,XRCC6P1	Height	"body height"	-	GCST90245848	10:93140046	36224396	"Yengo L"
rs11596645-G	4E-119	-	0.0649	-	"0.03 unit increase"	[0.027-0.033]	XRCC6P1,NIP7P1	Height	"body height"	-	GCST90245848	10:93147046	36224396	"Yengo L"
